System,CPU,Rounds,Tasks,Threads,Instructions,Cycles,Time
CTS,i9-13900K (core),10000,400,FALSE,37904787339,14411022990,4.81032
CTS,i9-13900K (core),10000,400,TRUE,36741331529,11336362986,3.76938 
CTS,i9-13900K (atom),10000,400,FALSE,38440717089,28161928002,9.4273
CTS,i9-13900K (atom),10000,400,TRUE,37052180240,18877918176,6.2389
